record_id,country_code,country_name,region,income_level,date,year,month,week,latitude,longitude,population_millions,temperature_celsius,temp_anomaly_celsius,precipitation_mm,heat_wave_days,drought_indicator,flood_indicator,extreme_weather_events,pm25_ugm3,air_quality_index,respiratory_disease_rate,cardio_mortality_rate,vector_disease_risk_score,waterborne_disease_incidents,heat_related_admissions,healthcare_access_index,gdp_per_capita_usd,mental_health_index,food_security_index
42,USA,United States,North America,High,2015-10-18,2015,10,42,37.09,-95.71,331,-5.73,0.16,104.0,0,0,0,0,61.0,87.0,80.3,28.8,0.0,13.5,0.0,87.5,64580.0,68.2,99.8
43,USA,United States,North America,High,2015-10-25,2015,10,43,37.09,-95.71,331,-3.9,-0.09,68.3,0,0,0,0,0.0,4.0,57.7,22.1,8.4,20.2,0.0,83.0,64580.0,73.2,100.0
44,USA,United States,North America,High,2015-11-01,2015,11,44,37.09,-95.71,331,-3.61,-0.21,20.2,0,0,0,0,93.7,147.0,74.6,33.1,8.9,16.3,0.0,85.4,64686.0,67.2,100.0
45,USA,United States,North America,High,2015-11-08,2015,11,45,37.09,-95.71,331,-0.79,0.52,0.0,0,0,0,0,67.0,74.0,85.1,35.9,4.8,19.9,0.0,82.8,64686.0,82.2,100.0
46,USA,United States,North America,High,2015-11-15,2015,11,46,37.09,-95.71,331,-1.48,0.26,58.3,0,0,0,0,28.6,50.0,77.4,38.0,9.8,15.9,0.0,85.8,64686.0,69.4,100.0
47,USA,United States,North America,High,2015-11-22,2015,11,47,37.09,-95.71,331,-5.6,0.78,50.4,0,0,0,0,39.3,44.0,45.2,38.0,5.2,12.1,0.0,81.7,64686.0,68.3,100.0
48,USA,United States,North America,High,2015-11-29,2015,11,48,37.09,-95.71,331,-4.43,-0.1,50.9,0,0,0,0,0.0,-1.0,47.7,33.0,10.5,24.1,0.0,82.7,64686.0,64.5,100.0
49,USA,United States,North America,High,2015-12-06,2015,12,49,37.09,-95.71,331,-0.54,0.01,69.3,0,0,0,0,42.5,55.0,57.3,29.9,3.4,14.9,0.0,74.5,64792.0,68.7,100.0
50,USA,United States,North America,High,2015-12-13,2015,12,50,37.09,-95.71,331,2.51,0.64,5.6,0,0,0,0,66.1,95.0,68.3,35.9,7.5,11.9,0.0,80.2,64792.0,69.7,100.0
51,USA,United States,North America,High,2015-12-20,2015,12,51,37.09,-95.71,331,1.08,0.03,51.3,0,0,0,0,31.5,49.0,58.2,32.7,1.8,16.7,0.0,83.2,64792.0,74.1,95.0
52,USA,United States,North America,High,2015-12-27,2015,12,52,37.09,-95.71,331,2.72,0.84,47.0,0,0,0,0,34.2,37.0,43.6,43.0,1.3,14.4,6.5,78.3,64792.0,61.2,100.0
53,USA,United States,North America,High,2016-01-03,2016,1,53,37.09,-95.71,331,5.67,-1.06,29.5,0,0,0,0,40.5,53.0,66.1,24.5,8.3,19.1,6.6,83.4,64898.0,68.2,99.5
54,USA,United States,North America,High,2016-01-10,2016,1,1,37.09,-95.71,331,0.72,-0.65,109.1,0,0,0,0,42.4,61.0,62.9,28.5,3.4,14.6,0.0,77.4,64898.0,65.1,100.0
55,USA,United States,North America,High,2016-01-17,2016,1,2,37.09,-95.71,331,7.13,0.26,99.2,0,0,0,0,64.7,122.0,79.6,22.1,1.2,15.4,8.9,83.1,64898.0,72.6,96.1
56,USA,United States,North America,High,2016-01-24,2016,1,3,37.09,-95.71,331,4.47,-0.28,53.9,0,0,0,0,26.1,19.0,48.1,33.8,2.2,31.7,5.9,84.6,64898.0,70.9,95.5
57,USA,United States,North America,High,2016-01-31,2016,1,4,37.09,-95.71,331,5.69,0.08,177.1,0,0,0,0,22.2,28.0,59.1,31.3,4.0,28.4,5.6,84.0,64898.0,62.2,97.7
58,USA,United States,North America,High,2016-02-07,2016,2,5,37.09,-95.71,331,8.7,-0.52,132.2,0,0,0,0,15.4,19.0,53.9,30.5,5.5,11.8,13.8,85.7,65004.0,73.1,100.0
59,USA,United States,North America,High,2016-02-14,2016,2,6,37.09,-95.71,331,10.03,0.25,105.9,0,0,0,0,0.0,12.0,51.3,33.5,4.4,24.1,14.2,78.3,65004.0,67.7,100.0
60,USA,United States,North America,High,2016-02-21,2016,2,7,37.09,-95.71,331,10.01,-0.5,149.5,1,0,0,1,40.4,32.0,57.6,34.2,7.6,19.9,15.8,82.6,65004.0,72.4,100.0
61,USA,United States,North America,High,2016-02-28,2016,2,8,37.09,-95.71,331,12.01,-0.32,98.7,1,0,0,1,0.0,-25.0,34.4,25.5,7.4,17.0,22.5,76.7,65004.0,64.5,94.5
62,USA,United States,North America,High,2016-03-06,2016,3,9,37.09,-95.71,331,7.61,-0.51,136.8,0,0,0,0,28.5,30.0,81.6,24.1,8.5,26.6,1.9,80.7,65109.0,70.4,97.2
63,USA,United States,North America,High,2016-03-13,2016,3,10,37.09,-95.71,331,11.49,-0.29,103.2,4,0,0,4,35.2,74.0,62.8,30.4,6.4,15.7,52.7,87.1,65109.0,69.0,92.2
64,USA,United States,North America,High,2016-03-20,2016,3,11,37.09,-95.71,331,14.21,-0.28,107.6,3,0,0,3,54.9,113.0,70.7,29.1,0.9,14.8,46.8,83.2,65109.0,77.5,97.2
65,USA,United States,North America,High,2016-03-27,2016,3,12,37.09,-95.71,331,10.72,0.62,195.7,1,0,0,1,7.6,-13.0,58.9,35.8,5.9,23.2,26.0,84.0,65109.0,71.5,100.0
66,USA,United States,North America,High,2016-04-03,2016,4,13,37.09,-95.71,331,12.48,0.53,165.9,1,0,0,1,22.6,36.0,70.9,30.1,6.1,16.5,27.6,82.6,65215.0,75.9,100.0
67,USA,United States,North America,High,2016-04-10,2016,4,14,37.09,-95.71,331,7.94,0.4,138.8,1,0,0,1,86.3,133.0,93.7,33.0,5.8,21.5,19.3,85.7,65215.0,67.3,100.0
68,USA,United States,North America,High,2016-04-17,2016,4,15,37.09,-95.71,331,8.39,0.09,97.3,0,0,0,0,28.5,45.0,62.2,27.8,4.6,8.3,14.9,81.3,65215.0,75.4,91.2
69,USA,United States,North America,High,2016-04-24,2016,4,16,37.09,-95.71,331,7.65,-0.06,136.2,0,0,0,0,57.5,103.0,80.3,28.6,1.6,17.9,13.0,85.2,65215.0,63.9,100.0
70,USA,United States,North America,High,2016-05-01,2016,5,17,37.09,-95.71,331,9.27,-0.33,94.5,0,0,0,0,9.8,36.0,52.1,34.0,6.0,20.8,15.9,86.5,65321.0,72.2,100.0
71,USA,United States,North America,High,2016-05-08,2016,5,18,37.09,-95.71,331,9.54,0.38,109.2,0,0,0,0,74.2,117.0,64.7,25.1,4.1,14.8,13.5,80.6,65321.0,62.0,100.0
72,USA,United States,North America,High,2016-05-15,2016,5,19,37.09,-95.71,331,10.51,-0.11,107.9,0,0,0,0,27.1,4.0,42.3,33.3,7.4,20.6,10.7,79.0,65321.0,69.8,99.7
73,USA,United States,North America,High,2016-05-22,2016,5,20,37.09,-95.71,331,10.81,0.47,98.5,0,0,0,0,41.0,48.0,62.7,31.0,4.7,17.6,12.5,85.5,65321.0,71.0,94.4
74,USA,United States,North America,High,2016-05-29,2016,5,21,37.09,-95.71,331,8.27,-0.22,87.9,0,0,0,0,77.4,130.0,73.8,25.7,7.1,20.5,15.5,80.9,65321.0,73.2,100.0
75,USA,United States,North America,High,2016-06-05,2016,6,22,37.09,-95.71,331,8.81,0.13,159.3,0,0,0,0,10.9,7.0,48.4,29.0,6.3,21.1,9.3,87.7,65427.0,69.9,100.0
76,USA,United States,North America,High,2016-06-12,2016,6,23,37.09,-95.71,331,6.15,0.05,96.1,0,0,0,0,56.1,69.0,64.3,21.9,6.2,21.7,4.4,78.1,65427.0,77.9,93.6
77,USA,United States,North America,High,2016-06-19,2016,6,24,37.09,-95.71,331,4.8,0.55,138.4,0,0,0,0,20.9,47.0,55.9,31.9,7.7,21.8,0.0,80.6,65427.0,77.4,100.0
78,USA,United States,North America,High,2016-06-26,2016,6,25,37.09,-95.71,331,4.19,0.28,90.9,0,0,0,0,28.1,32.0,58.2,37.2,6.6,16.6,6.7,77.3,65427.0,55.8,100.0
79,USA,United States,North America,High,2016-07-03,2016,7,26,37.09,-95.71,331,1.71,-0.53,39.4,0,0,0,0,81.1,115.0,77.8,27.1,6.4,18.9,0.0,77.8,65533.0,75.0,97.3
80,USA,United States,North America,High,2016-07-10,2016,7,27,37.09,-95.71,331,0.62,0.78,99.0,0,0,0,0,31.5,42.0,56.2,44.3,6.1,20.7,0.9,81.9,65533.0,71.2,98.5
81,USA,United States,North America,High,2016-07-17,2016,7,28,37.09,-95.71,331,0.39,0.01,90.6,0,0,0,0,43.2,76.0,62.1,30.5,0.0,23.1,0.0,88.8,65533.0,75.0,85.3
82,USA,United States,North America,High,2016-07-24,2016,7,29,37.09,-95.71,331,-0.65,0.59,33.1,0,0,0,0,68.7,87.0,64.4,42.5,4.4,19.6,0.0,83.6,65533.0,72.5,100.0
83,USA,United States,North America,High,2016-07-31,2016,7,30,37.09,-95.71,331,3.57,0.0,66.0,0,0,0,0,73.1,126.0,83.8,33.2,1.6,26.7,0.0,82.3,65533.0,71.5,96.0
84,USA,United States,North America,High,2016-08-07,2016,8,31,37.09,-95.71,331,-1.38,0.19,68.6,0,0,0,0,86.6,137.0,73.5,35.8,8.6,12.4,0.0,86.6,65639.0,73.5,98.3
85,USA,United States,North America,High,2016-08-14,2016,8,32,37.09,-95.71,331,-3.07,0.1,47.1,0,0,0,0,51.0,60.0,50.9,38.5,2.5,13.5,0.0,87.4,65639.0,66.8,93.1
86,USA,United States,North America,High,2016-08-21,2016,8,33,37.09,-95.71,331,-1.4,-0.31,116.6,0,0,0,0,61.2,87.0,43.4,39.9,0.8,10.3,0.0,84.2,65639.0,82.2,100.0
87,USA,United States,North America,High,2016-08-28,2016,8,34,37.09,-95.71,331,-2.79,0.46,69.0,0,0,0,0,53.2,81.0,65.3,28.5,4.2,10.0,0.0,83.0,65639.0,65.1,94.2
88,USA,United States,North America,High,2016-09-04,2016,9,35,37.09,-95.71,331,-1.66,0.49,0.0,0,0,0,0,44.9,44.0,62.1,31.7,2.1,21.3,0.4,79.7,65745.0,71.1,100.0
89,USA,United States,North America,High,2016-09-11,2016,9,36,37.09,-95.71,331,-2.01,-0.0,24.7,0,0,0,0,56.7,87.0,72.4,30.2,5.1,15.0,0.0,78.8,65745.0,63.0,100.0
90,USA,United States,North America,High,2016-09-18,2016,9,37,37.09,-95.71,331,-6.44,-0.32,67.7,0,0,0,0,39.1,77.0,55.0,29.8,2.5,29.2,0.0,83.7,65745.0,71.5,100.0
91,USA,United States,North America,High,2016-09-25,2016,9,38,37.09,-95.71,331,-5.56,-0.03,41.4,0,0,0,0,48.0,87.0,86.5,27.1,0.9,18.1,0.0,87.5,65745.0,66.0,100.0
92,USA,United States,North America,High,2016-10-02,2016,10,39,37.09,-95.71,331,-6.32,0.32,88.9,0,0,0,0,32.7,46.0,54.0,26.5,3.1,12.4,0.0,77.8,65851.0,66.2,100.0
93,USA,United States,North America,High,2016-10-09,2016,10,40,37.09,-95.71,331,-4.45,0.45,0.0,0,0,0,0,69.4,114.0,90.3,31.0,10.2,19.0,0.0,79.7,65851.0,65.0,100.0
94,USA,United States,North America,High,2016-10-16,2016,10,41,37.09,-95.71,331,-4.74,0.83,32.4,0,0,0,0,86.4,111.0,70.6,27.1,5.2,22.4,0.0,83.2,65851.0,76.1,96.0
95,USA,United States,North America,High,2016-10-23,2016,10,42,37.09,-95.71,331,-5.64,0.22,58.3,0,0,0,0,62.9,78.0,60.0,27.6,4.3,18.9,0.0,89.0,65851.0,65.8,91.7
96,USA,United States,North America,High,2016-10-30,2016,10,43,37.09,-95.71,331,-6.42,0.45,46.2,0,0,0,0,57.0,86.0,63.3,34.6,3.7,24.3,0.0,81.8,65851.0,73.0,97.2
97,USA,United States,North America,High,2016-11-06,2016,11,44,37.09,-95.71,331,-6.0,-0.14,16.8,0,0,0,0,89.5,150.0,81.6,29.2,7.5,25.5,0.0,79.3,65956.0,70.1,93.2
98,USA,United States,North America,High,2016-11-13,2016,11,45,37.09,-95.71,331,-3.62,-0.27,45.4,0,0,0,0,52.3,86.0,65.0,31.1,5.2,8.6,0.0,84.3,65956.0,69.3,93.7
99,USA,United States,North America,High,2016-11-20,2016,11,46,37.09,-95.71,331,0.76,0.65,48.2,0,0,0,0,87.6,134.0,72.9,30.2,4.1,16.6,0.0,83.8,65956.0,70.8,99.8
100,USA,United States,North America,High,2016-11-27,2016,11,47,37.09,-95.71,331,0.86,0.51,13.9,0,0,0,0,31.1,44.0,58.0,37.5,3.5,12.6,2.3,84.8,65956.0,68.4,100.0
101,USA,United States,North America,High,2016-12-04,2016,12,48,37.09,-95.71,331,-0.74,-0.05,50.9,0,0,0,0,49.4,87.0,56.9,30.3,1.6,13.5,0.0,78.9,66062.0,60.2,100.0
102,USA,United States,North America,High,2016-12-11,2016,12,49,37.09,-95.71,331,0.14,0.62,41.3,0,0,0,0,0.0,-7.0,41.3,21.7,5.9,19.5,0.5,81.3,66062.0,64.4,91.8
103,USA,United States,North America,High,2016-12-18,2016,12,50,37.09,-95.71,331,0.97,0.5,114.1,0,0,0,0,67.5,105.0,78.3,29.3,5.5,12.5,0.0,81.8,66062.0,70.4,100.0
104,USA,United States,North America,High,2016-12-25,2016,12,51,37.09,-95.71,331,2.28,0.16,62.9,0,0,0,0,27.4,61.0,48.4,24.2,7.0,24.3,0.0,80.4,66062.0,67.8,100.0
105,USA,United States,North America,High,2017-01-01,2017,1,52,37.09,-95.71,331,1.36,0.48,98.9,0,0,0,0,73.0,91.0,66.9,33.8,2.2,21.7,3.4,86.9,66168.0,67.1,99.9
106,USA,United States,North America,High,2017-01-08,2017,1,1,37.09,-95.71,331,7.48,0.41,103.3,0,0,0,0,18.0,32.0,61.0,31.0,3.2,12.1,0.8,82.9,66168.0,60.3,100.0
107,USA,United States,North America,High,2017-01-15,2017,1,2,37.09,-95.71,331,3.86,-0.12,96.5,0,0,0,0,36.6,35.0,70.1,30.9,5.8,22.7,0.0,85.2,66168.0,76.1,99.0
108,USA,United States,North America,High,2017-01-22,2017,1,3,37.09,-95.71,331,7.21,-0.48,109.9,0,0,0,0,46.2,70.0,62.9,27.2,7.4,21.4,9.1,84.7,66168.0,62.5,100.0
109,USA,United States,North America,High,2017-01-29,2017,1,4,37.09,-95.71,331,11.22,0.58,42.2,0,0,0,0,53.5,92.0,69.9,39.3,7.0,17.8,10.8,80.7,66168.0,69.0,95.5
110,USA,United States,North America,High,2017-02-05,2017,2,5,37.09,-95.71,331,8.61,0.88,115.1,1,0,0,1,66.9,91.0,70.7,36.0,2.6,21.7,19.1,81.2,66274.0,71.6,95.3
111,USA,United States,North America,High,2017-02-12,2017,2,6,37.09,-95.71,331,9.63,-0.14,158.8,1,0,0,1,18.3,53.0,50.0,36.6,3.3,19.4,17.6,82.9,66274.0,80.6,98.3
112,USA,United States,North America,High,2017-02-19,2017,2,7,37.09,-95.71,331,7.48,0.97,166.9,0,0,0,0,52.2,87.0,73.4,32.1,2.5,18.5,8.6,85.4,66274.0,67.7,100.0
113,USA,United States,North America,High,2017-02-26,2017,2,8,37.09,-95.71,331,9.62,0.78,79.0,0,0,0,0,39.4,46.0,60.5,36.3,0.9,19.5,16.6,81.4,66274.0,79.3,94.4
114,USA,United States,North America,High,2017-03-05,2017,3,9,37.09,-95.71,331,10.45,0.62,106.6,0,0,0,0,85.8,152.0,70.9,27.5,5.4,9.7,17.0,77.7,66380.0,69.3,97.4
115,USA,United States,North America,High,2017-03-12,2017,3,10,37.09,-95.71,331,11.34,-0.22,82.5,0,0,0,0,0.0,3.0,46.2,14.5,4.5,23.0,21.1,83.7,66380.0,71.8,94.3
116,USA,United States,North America,High,2017-03-19,2017,3,11,37.09,-95.71,331,9.44,0.22,122.6,0,0,0,0,33.0,46.0,51.1,27.0,4.3,20.3,17.9,81.7,66380.0,66.0,100.0
117,USA,United States,North America,High,2017-03-26,2017,3,12,37.09,-95.71,331,10.7,-0.33,47.0,0,0,0,0,72.7,113.0,72.7,31.9,5.3,18.0,12.9,79.2,66380.0,74.4,95.2
118,USA,United States,North America,High,2017-04-02,2017,4,13,37.09,-95.71,331,11.93,-0.62,192.4,1,0,0,1,3.1,-7.0,54.9,34.1,2.0,18.8,28.5,81.4,66486.0,73.0,100.0
119,USA,United States,North America,High,2017-04-09,2017,4,14,37.09,-95.71,331,9.07,0.09,87.5,0,0,0,0,0.0,-7.0,70.1,39.3,1.9,14.9,13.0,80.5,66486.0,77.0,100.0
120,USA,United States,North America,High,2017-04-16,2017,4,15,37.09,-95.71,331,10.42,-0.27,136.8,0,0,0,0,20.6,17.0,57.4,36.8,6.0,17.2,13.9,82.3,66486.0,62.2,100.0
121,USA,United States,North America,High,2017-04-23,2017,4,16,37.09,-95.71,331,9.88,1.64,126.2,1,0,0,1,16.0,26.0,42.4,44.3,3.0,27.9,27.7,82.7,66486.0,67.3,100.0
122,USA,United States,North America,High,2017-04-30,2017,4,17,37.09,-95.71,331,11.54,0.29,89.8,1,0,0,1,33.7,44.0,52.5,35.1,11.2,13.2,25.7,83.8,66486.0,76.6,99.3
123,USA,United States,North America,High,2017-05-07,2017,5,18,37.09,-95.71,331,7.2,0.26,107.0,0,0,0,0,63.2,113.0,94.9,34.2,6.0,19.5,7.1,83.0,66592.0,71.7,98.3
124,USA,United States,North America,High,2017-05-14,2017,5,19,37.09,-95.71,331,11.36,-0.45,143.8,0,0,0,0,27.1,60.0,57.2,16.5,3.5,23.5,20.0,81.3,66592.0,65.8,96.9
125,USA,United States,North America,High,2017-05-21,2017,5,20,37.09,-95.71,331,6.71,-0.97,129.1,0,0,0,0,65.6,76.0,82.1,24.7,8.7,18.7,8.6,86.1,66592.0,71.9,95.8
126,USA,United States,North America,High,2017-05-28,2017,5,21,37.09,-95.71,331,5.03,-0.15,118.1,0,0,0,0,23.6,47.0,70.9,34.3,0.0,19.1,9.7,84.5,66592.0,63.4,100.0
127,USA,United States,North America,High,2017-06-04,2017,6,22,37.09,-95.71,331,4.02,0.47,106.4,0,0,0,0,55.0,68.0,68.0,23.8,0.0,19.2,8.0,81.9,66698.0,71.3,99.4
128,USA,United States,North America,High,2017-06-11,2017,6,23,37.09,-95.71,331,3.68,-0.06,106.5,0,0,0,0,27.8,53.0,60.3,31.3,7.7,15.9,5.2,80.6,66698.0,68.1,100.0
129,USA,United States,North America,High,2017-06-18,2017,6,24,37.09,-95.71,331,2.82,0.1,32.7,0,0,0,0,46.1,45.0,71.6,35.7,2.4,20.6,4.6,84.7,66698.0,74.5,100.0
130,USA,United States,North America,High,2017-06-25,2017,6,25,37.09,-95.71,331,2.39,0.09,70.5,0,0,0,0,27.6,42.0,61.7,36.3,5.8,21.7,2.6,80.4,66698.0,83.4,90.7
131,USA,United States,North America,High,2017-07-02,2017,7,26,37.09,-95.71,331,5.68,-0.12,106.2,0,0,0,0,44.5,98.0,52.2,35.5,10.2,13.4,9.8,81.7,66803.0,65.2,99.9
